category,name,description,image,vegetaric,vegan,bio,menu,price,date
Heißgetränke,Latte Macchiato M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=15298&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.7,2021-07-01
Heißgetränke,Latte Macchiato L,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14823&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.9,2021-07-01
Heißgetränke,Espresso S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13550&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-07-01
Heißgetränke,Espresso M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13548&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.0,2021-07-01
Heißgetränke,Extra-Schuss Espresso,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14594&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.5,2021-07-01
Heißgetränke,Espresso Macchiato S,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13549&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.8,2021-07-01
Heißgetränke,Espresso Macchiato M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14827&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.3,2021-07-01
Heißgetränke,Espresso Macchiato L,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.8,2021-07-01
Heißgetränke,COCAYA Heiße Schokolade M,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=13545&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-07-01
Heißgetränke,BIO-EILLES TEE S Earl Grey,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14833&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.2,2021-07-01
Heißgetränke,BIO-EILLES TEE S English Breakfast,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14833&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.2,2021-07-01
Heißgetränke,BIO-EILLES TEE S Grüntee Jingshen,,https://web.archive.org/web/20240429110130im_/https://db-bordgastronomie.de/files/art-img/?id=14833&type=normal,Vegetarisch,Nicht vegan,bio,Kein Menü,3.2,2021-07-01
